epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8221836686134338,0.9341112971305847,0.3622948229312897,0.7150360941886902,0.9191166162490845,0.940362811088562,0.9785960912704468,0.16366836428642273,0.9422814249992371,0.9054808020591736
1,0.9381921887397766,0.978243350982666,0.17447125911712646,0.9324402213096619,0.9105359315872192,0.946235179901123,0.9799910187721252,0.15612460672855377,0.9519725441932678,0.910731852054596
2,0.9390871524810791,0.9793597459793091,0.16842417418956757,0.9352226853370667,0.9098325967788696,0.947279155254364,0.9807534217834473,0.1497562974691391,0.9641728401184082,0.9008861184120178
3,0.9426669478416443,0.9801689982414246,0.16384905576705933,0.9447368383407593,0.9089885950088501,0.9467571377754211,0.9808136820793152,0.14967434108257294,0.9641224145889282,0.8995733261108398
4,0.944624662399292,0.9805743098258972,0.1614246368408203,0.9484097957611084,0.9102545976638794,0.9478011131286621,0.9812827110290527,0.14687807857990265,0.9671726226806641,0.8992451429367065
5,0.9435619115829468,0.9810014367103577,0.15993650257587433,0.9465593099594116,0.9094105958938599,0.9492365717887878,0.9814329147338867,0.147245854139328,0.9598615765571594,0.9104036688804626
6,0.9452958703041077,0.9816828370094299,0.15680722892284393,0.9494209289550781,0.910957932472229,0.9481925964355469,0.9817009568214417,0.15041764080524445,0.9506802558898926,0.9172956943511963
7,0.9457433819770813,0.9820560216903687,0.1554958075284958,0.9506680369377136,0.9108172655105591,0.9497585892677307,0.9818922281265259,0.14415599405765533,0.9657102823257446,0.9058089852333069
8,0.9460789561271667,0.9824111461639404,0.1535077542066574,0.949656069278717,0.912786602973938,0.9478011131286621,0.9817792773246765,0.14464342594146729,0.9718360304832458,0.8946504592895508
9,0.9468061327934265,0.9825800657272339,0.15191324055194855,0.9522620439529419,0.9119426012039185,0.9480621218681335,0.9815313816070557,0.15087252855300903,0.9506635069847107,0.916967511177063
10,0.9478688836097717,0.9832073450088501,0.15007594227790833,0.9543916583061218,0.9125052690505981,0.9497585892677307,0.982081413269043,0.1434415578842163,0.9660364389419556,0.9054808020591736
11,0.9475892186164856,0.9832683205604553,0.14934062957763672,0.9532902240753174,0.9129272699356079,0.949367105960846,0.981861412525177,0.14646928012371063,0.9630790948867798,0.9074499607086182
12,0.9484841823577881,0.9834998846054077,0.14846664667129517,0.9545989036560059,0.9139119386672974,0.9492365717887878,0.9819714426994324,0.14468808472156525,0.9604989886283875,0.909747302532196
13,0.9472535848617554,0.983826756477356,0.14711147546768188,0.9519202709197998,0.9134899377822876,0.9508025646209717,0.9817799925804138,0.14512987434864044,0.9638637900352478,0.9104036688804626
14,0.9481485486030579,0.9838188886642456,0.14712204039096832,0.9530929327011108,0.914615273475647,0.9481925964355469,0.9818403124809265,0.14567998051643372,0.9649122953414917,0.9025270938873291
15,0.9496588110923767,0.9839902520179749,0.1465250551700592,0.9556729793548584,0.9158812761306763,0.9487146139144897,0.9819279909133911,0.14499644935131073,0.9630146622657776,0.9058089852333069
