epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5935063362121582,0.7166758179664612,5.877156734466553,0.4112636148929596,0.8209730982780457,0.6933509707450867,0.7063539624214172,2.0578768253326416,0.4921875,0.694597601890564
1,0.691762387752533,0.7698832750320435,1.4493080377578735,0.4917127192020416,0.798771858215332,0.7019516825675964,0.7833612561225891,1.5821605920791626,0.5020520091056824,0.8092613220214844
2,0.7253651022911072,0.7933439612388611,1.0822997093200684,0.5280548334121704,0.8001889586448669,0.7208071351051331,0.8339925408363342,1.1762230396270752,0.5206286907196045,0.8765159845352173
3,0.7633631229400635,0.8200222849845886,0.7949496507644653,0.5776699185371399,0.7869626879692078,0.7386701703071594,0.8555604815483093,1.0643997192382812,0.5393409729003906,0.8842337131500244
4,0.7731461524963379,0.8380529284477234,0.6945068836212158,0.5906063914299011,0.7959376573562622,0.8035064339637756,0.8199586272239685,0.7128511071205139,0.6547972559928894,0.7298787236213684
5,0.7931376695632935,0.8506689071655273,0.6203834414482117,0.6210448741912842,0.7973547577857971,0.7909361720085144,0.8454453945159912,0.7790701985359192,0.6162299513816833,0.803748607635498
6,0.7971076369285583,0.8583205938339233,0.5960674285888672,0.6279850602149963,0.7949929237365723,0.7849817872047424,0.8679520487785339,0.9008039832115173,0.5995352268218994,0.8533627390861511
7,0.7859067320823669,0.8501054644584656,0.6718860268592834,0.6102433800697327,0.7935758233070374,0.7922593355178833,0.8766922950744629,0.7163671255111694,0.609929084777832,0.8533627390861511
8,0.8041967749595642,0.8693141937255859,0.5952239632606506,0.6381381154060364,0.8030231595039368,0.809791624546051,0.8609678745269775,0.6305070519447327,0.6560150384902954,0.769569993019104
9,0.8078831434249878,0.8686690926551819,0.5796784162521362,0.6492946743965149,0.782711386680603,0.757525622844696,0.8858685493469238,0.9923202991485596,0.5583892464637756,0.9173098206520081
10,0.7700269222259521,0.8361035585403442,0.8690231442451477,0.5870559215545654,0.7883797883987427,0.7856433987617493,0.8629385828971863,0.7305895090103149,0.6083682179450989,0.8015435338020325
11,0.8077414035797119,0.872347354888916,0.5705730319023132,0.6482275128364563,0.7860179543495178,0.7945749163627625,0.8309292793273926,0.731320858001709,0.6430000066757202,0.7089305520057678
12,0.8170990943908691,0.881415605545044,0.539560079574585,0.6650698781013489,0.7869626879692078,0.8213695287704468,0.8907150626182556,0.5690810680389404,0.6622458100318909,0.8257993459701538
13,0.8241882920265198,0.8929007649421692,0.4879377782344818,0.6742153167724609,0.8016060590744019,0.8236851096153259,0.8435688614845276,0.5386773347854614,0.7397435903549194,0.6361631751060486
14,0.8226286768913269,0.8849769234657288,0.5209185481071472,0.6755880117416382,0.7869626879692078,0.7866358160972595,0.8985919952392578,0.7626568675041199,0.5957602262496948,0.898566722869873
15,0.8222033381462097,0.8890309929847717,0.5303981900215149,0.6739218235015869,0.7897968888282776,0.8104531764984131,0.8961490988731384,0.5903497934341431,0.6387042999267578,0.8478500843048096
16,0.8292924761772156,0.8958993554115295,0.47308215498924255,0.6810789108276367,0.8110533952713013,0.8286470174789429,0.8991075754165649,0.5146052837371826,0.6735057830810547,0.8324145674705505
17,0.8312774896621704,0.8992359638214111,0.456403911113739,0.6900368928909302,0.7949929237365723,0.8157459497451782,0.886440634727478,0.5507825613021851,0.6641650795936584,0.7805953621864319
18,0.8260314464569092,0.8998885154724121,0.4616430401802063,0.6807473301887512,0.7916863560676575,0.8342705965042114,0.8990848064422607,0.46845558285713196,0.6990196108818054,0.7861080765724182
19,0.8260314464569092,0.8970637321472168,0.47081732749938965,0.6790024042129517,0.7973547577857971,0.8130995631217957,0.8935953378677368,0.5960240364074707,0.6454081535339355,0.8368247151374817
20,0.8314192295074463,0.9040666222572327,0.4496752917766571,0.6880064606666565,0.8020784258842468,0.8395633697509766,0.9000568389892578,0.4759175479412079,0.7135627269744873,0.7772877812385559
21,0.8366652727127075,0.906345009803772,0.43174055218696594,0.6975030899047852,0.8049126267433167,0.8197154998779297,0.8956094980239868,0.5218983888626099,0.6601769924163818,0.8224917054176331
22,0.8368070125579834,0.9069108366966248,0.43654265999794006,0.6953883767127991,0.8119981288909912,0.8240158557891846,0.8980781435966492,0.5200250744819641,0.6709206700325012,0.81146639585495
23,0.8380830883979797,0.9096958637237549,0.41893479228019714,0.7002053260803223,0.8053849935531616,0.8236851096153259,0.8738380670547485,0.46908482909202576,0.7149425148963928,0.6857773065567017
