epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7491847276687622,0.7576169967651367,0.6394895315170288,0.6310241222381592,0.39584317803382874,0.7902745604515076,0.8617805242538452,0.5016542077064514,0.6293838620185852,0.732083797454834
1,0.7946972846984863,0.8711220026016235,0.45373931527137756,0.6203670501708984,0.8143599629402161,0.7737346887588501,0.8989494442939758,0.47130075097084045,0.5762132406234741,0.9294376969337463
2,0.8085920810699463,0.8990419507026672,0.38475847244262695,0.6289942860603333,0.883325457572937,0.8180615305900574,0.909461498260498,0.3766986131668091,0.6443006992340088,0.8787210583686829
3,0.818658709526062,0.9089853167533875,0.3619351387023926,0.6414584517478943,0.8974964618682861,0.8071452379226685,0.9136897921562195,0.3942902684211731,0.6185944080352783,0.9316427707672119
4,0.8206437230110168,0.9131849408149719,0.3516913056373596,0.6428571343421936,0.9055266976356506,0.8173999190330505,0.9168134927749634,0.3665419816970825,0.6368542909622192,0.9106945991516113
5,0.8233376145362854,0.9172868728637695,0.34291872382164,0.6459939479827881,0.9102503657341003,0.8253390789031982,0.9181132316589355,0.3486369252204895,0.6541904211044312,0.88643878698349
6,0.8260314464569092,0.9186272025108337,0.3392675518989563,0.6487299203872681,0.9168635010719299,0.8200463056564331,0.917616069316864,0.34748131036758423,0.6474410891532898,0.8787210583686829
7,0.8247554302215576,0.9211381077766418,0.3335855305194855,0.6463941335678101,0.9187529683113098,0.8203771114349365,0.917863130569458,0.3556573987007141,0.6446740627288818,0.8941565752029419
8,0.8287253379821777,0.9231253862380981,0.33145585656166077,0.6527730822563171,0.9173358678817749,0.814753532409668,0.9187108874320984,0.35885268449783325,0.6348096132278442,0.9007717967033386
9,0.8277328610420227,0.9237596392631531,0.32836392521858215,0.6509370803833008,0.9187529683113098,0.8269930481910706,0.9199989438056946,0.3460768759250641,0.656862735748291,0.88643878698349
10,0.8305685520172119,0.925118625164032,0.3251027762889862,0.6530544757843018,0.9291450381278992,0.8266622424125671,0.9204496145248413,0.3410384953022003,0.6581337451934814,0.8787210583686829
11,0.8307103514671326,0.9259629249572754,0.3234235346317291,0.6545028686523438,0.9234766364097595,0.8137611746788025,0.9201670289039612,0.3572346270084381,0.6327160596847534,0.9040793776512146
12,0.8309938907623291,0.9286844730377197,0.31824424862861633,0.653196394443512,0.931506872177124,0.8180615305900574,0.9192101955413818,0.35470932722091675,0.6395621299743652,0.901874303817749
13,0.8360981345176697,0.9292071461677551,0.3166879117488861,0.6619480848312378,0.9277279376983643,0.8150843381881714,0.9212851524353027,0.35270175337791443,0.6346749067306519,0.9040793776512146
14,0.8324117660522461,0.9305626749992371,0.313429057598114,0.6557813882827759,0.9296174049377441,0.8187231421470642,0.920760452747345,0.352683424949646,0.6439454555511475,0.8853362798690796
15,0.8379412889480591,0.9319221377372742,0.31200242042541504,0.6648612022399902,0.9277279376983643,0.8137611746788025,0.9208656549453735,0.37007176876068115,0.6310975551605225,0.9128996729850769
