epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6578159928321838,0.6528646945953369,2.3150579929351807,0.45869484543800354,0.49270665645599365,0.7378193736076355,0.75652676820755,0.6348532438278198,0.5846599340438843,0.5727788209915161
1,0.7219993472099304,0.7768774032592773,0.6302120685577393,0.5441039800643921,0.7123176455497742,0.7363339066505432,0.8072168231010437,0.5312959551811218,0.559761643409729,0.7547258734703064
2,0.715886652469635,0.8035563230514526,0.5869197845458984,0.5329532623291016,0.77653968334198,0.705585241317749,0.81781005859375,0.5450714230537415,0.5202294588088989,0.8142722249031067
3,0.6999045014381409,0.8163323402404785,0.5567423105239868,0.5146768689155579,0.7921394109725952,0.7104872465133667,0.8245312571525574,0.5440207719802856,0.5255117416381836,0.8128544688224792
4,0.7142947912216187,0.8254626393318176,0.5414407849311829,0.5302846431732178,0.7963938117027283,0.7445038557052612,0.8363478183746338,0.5066326856613159,0.5666217803955078,0.7958412170410156
5,0.7212352752685547,0.8303080797195435,0.5384429693222046,0.5386212468147278,0.7882901430130005,0.6748365759849548,0.8096123337745667,0.6066617369651794,0.49013248085975647,0.8568052649497986
6,0.7225724458694458,0.832161545753479,0.5313634872436523,0.5397937893867493,0.7955834865570068,0.6319072842597961,0.8238663077354431,0.6143561601638794,0.4564065635204315,0.8955576419830322
7,0.7339063882827759,0.8397278785705566,0.514633297920227,0.5536347031593323,0.7915316224098206,0.651218056678772,0.8306586146354675,0.5911248922348022,0.4705134630203247,0.8747637271881104
8,0.7394460439682007,0.8397909998893738,0.5104311108589172,0.5608595609664917,0.7878849506378174,0.7168745994567871,0.8414215445518494,0.5239325165748596,0.5318374633789062,0.8289225101470947
9,0.7363260388374329,0.8395097255706787,0.5129517912864685,0.5565997362136841,0.7919368147850037,0.6934046149253845,0.8451382517814636,0.5454762578010559,0.5072788596153259,0.8563327193260193
