id_student,label,sum_clicks,avg_clicks_per_day,avg_score,num_assessments,num_passed_assessments
11391,1,934.0,4.76530612244898,82.0,5.0,5.0
28400,1,1435.0,3.3372093023255816,66.4,5.0,5.0
31604,1,2158.0,3.2549019607843137,76.0,5.0,5.0
32885,1,1034.0,2.9375,54.4,5.0,3.0
38053,1,2445.0,3.3817427385892116,68.0,5.0,5.0
45462,1,1492.0,4.20281690140845,68.0,5.0,5.0
45642,1,1428.0,2.689265536723164,72.4,5.0,5.0
52130,1,1894.0,3.193929173693086,71.4,5.0,5.0
53025,1,3158.0,3.493362831858407,78.0,5.0,5.0
57506,1,1319.0,3.272952853598015,74.0,5.0,5.0
58873,1,1732.0,3.2927756653992395,73.2,5.0,5.0
59185,1,1102.0,3.1942028985507247,78.6,5.0,5.0
62155,1,3388.0,3.45361875637105,76.0,5.0,5.0
63400,1,2737.0,3.6013157894736842,71.6,5.0,5.0
70464,1,1053.0,5.136585365853659,55.6,5.0,4.0
71361,1,2327.0,3.1964285714285716,80.4,5.0,5.0
74372,0,116.0,1.6111111111111112,48.5,4.0,3.0
75091,1,2992.0,3.9681697612732094,66.0,5.0,5.0
77367,1,680.0,2.5092250922509227,70.4,5.0,5.0
91265,1,1494.0,3.0120967741935485,70.8,5.0,5.0
98094,1,2839.0,7.3549222797927465,60.6,5.0,5.0
100893,1,744.0,3.0617283950617282,68.4,5.0,5.0
101781,1,4104.0,4.495071193866375,72.6,5.0,5.0
102806,1,1944.0,2.4891165172855314,78.0,5.0,5.0
102952,1,1150.0,3.6741214057507987,76.6,5.0,5.0
104476,1,4777.0,4.815524193548387,79.6,5.0,5.0
106577,1,733.0,3.316742081447964,53.4,5.0,4.0
110175,1,998.0,2.9096209912536444,63.4,5.0,5.0
111717,1,2343.0,3.9779286926994906,81.0,3.0,3.0
113295,1,3553.0,3.5494505494505493,77.6,5.0,5.0
114017,1,757.0,3.277056277056277,71.8,5.0,5.0
114999,1,1358.0,2.6627450980392156,72.8,5.0,5.0
116541,1,1886.0,3.669260700389105,62.4,5.0,5.0
116692,1,1108.0,3.562700964630225,74.2,5.0,5.0
118983,1,284.0,2.5585585585585586,61.8,5.0,5.0
123044,1,2041.0,3.401666666666667,71.4,5.0,5.0
127582,1,1321.0,3.0022727272727274,69.6,5.0,5.0
132976,1,520.0,3.4210526315789473,67.4,5.0,5.0
134143,1,2732.0,4.801405975395431,84.4,5.0,5.0
137873,1,5528.0,3.923349893541519,80.2,5.0,5.0
141355,1,1823.0,3.1162393162393163,72.6,5.0,5.0
142326,1,2121.0,3.3613312202852614,73.6,5.0,5.0
144801,1,5645.0,3.484567901234568,68.8,5.0,5.0
145130,1,452.0,3.033557046979866,54.4,5.0,4.0
146188,0,597.0,3.109375,50.0,5.0,5.0
151358,1,270.0,3.033707865168539,50.0,5.0,5.0
155550,1,1529.0,3.649164677804296,67.0,5.0,5.0
155854,1,4003.0,4.156801661474558,79.8,5.0,5.0
157568,1,1405.0,3.639896373056995,70.6,5.0,5.0
164259,1,466.0,1.9497907949790796,71.8,5.0,5.0
167906,1,1510.0,2.9320388349514563,69.4,5.0,5.0
168936,1,745.0,2.466887417218543,66.4,5.0,5.0
172112,1,1939.0,2.781922525107604,69.6,5.0,5.0
172797,1,1782.0,4.293975903614458,61.4,5.0,5.0
174782,1,6318.0,3.8454047474132684,80.4,5.0,5.0
175392,1,4447.0,3.3920671243325704,82.4,5.0,5.0
175932,1,2016.0,4.613272311212815,78.2,5.0,5.0
175991,0,138.0,2.76,37.6,5.0,2.0
180753,1,2012.0,2.344988344988345,53.4,5.0,5.0
183096,1,1975.0,3.610603290676417,54.0,5.0,5.0
183947,1,964.0,2.619565217391304,49.0,5.0,4.0
184271,1,1312.0,2.750524109014675,59.8,5.0,5.0
185439,0,427.0,4.313131313131313,74.0,1.0,1.0
186149,1,2136.0,3.651282051282051,76.0,5.0,5.0
187100,1,8562.0,4.454734651404786,89.2,5.0,5.0
189879,1,1541.0,3.486425339366516,79.4,5.0,5.0
192183,1,3219.0,4.003731343283582,68.4,5.0,5.0
200860,1,534.0,1.9071428571428573,54.4,5.0,4.0
205350,1,1665.0,2.9573712255772646,72.2,5.0,5.0
205719,0,333.0,2.8461538461538463,56.666666666666664,3.0,3.0
227499,1,2953.0,3.6592317224287485,83.6,5.0,5.0
227517,0,1205.0,3.1136950904392764,62.6,5.0,5.0
228082,1,227.0,1.6691176470588236,72.4,5.0,5.0
228222,1,445.0,2.680722891566265,61.8,5.0,5.0
229179,1,614.0,3.766871165644172,66.0,5.0,5.0
229361,1,1215.0,3.481375358166189,78.0,5.0,5.0
231554,1,1839.0,4.227586206896552,67.75,4.0,4.0
236284,1,732.0,3.4857142857142858,78.0,5.0,5.0
238007,1,1935.0,2.6043068640646028,79.2,5.0,5.0
240712,1,321.0,3.0,75.8,5.0,5.0
240884,1,427.0,2.235602094240838,58.4,5.0,5.0
241649,1,1892.0,3.3019197207678883,78.8,5.0,5.0
241729,0,1829.0,2.917065390749601,58.6,5.0,5.0
242793,1,658.0,2.5019011406844105,77.4,5.0,5.0
246834,1,1174.0,3.3447293447293447,55.6,5.0,5.0
248270,1,1969.0,2.6183510638297873,78.4,5.0,5.0
255548,1,2580.0,3.165644171779141,71.4,5.0,5.0
256815,1,1481.0,2.859073359073359,76.8,5.0,5.0
258392,1,844.0,2.822742474916388,58.8,5.0,5.0
258894,1,4963.0,3.6226277372262774,64.8,5.0,5.0
262011,1,1066.0,3.0898550724637683,71.0,5.0,5.0
262934,1,2407.0,3.3570432357043236,76.6,5.0,5.0
268073,0,3210.0,4.483240223463687,74.6,5.0,5.0
271251,1,3348.0,5.23943661971831,76.4,5.0,5.0
279572,1,1183.0,3.983164983164983,79.2,5.0,5.0
281022,1,492.0,2.6885245901639343,73.4,5.0,5.0
281250,0,130.0,1.6883116883116882,55.4,5.0,5.0
281589,0,59.0,2.107142857142857,0.0,0.0,0.0
282821,1,1961.0,4.102510460251046,60.6,5.0,5.0
286488,1,1046.0,3.683098591549296,71.0,5.0,5.0
287548,1,483.0,3.3541666666666665,67.8,5.0,5.0
290201,1,1740.0,3.5080645161290325,70.4,5.0,5.0
290757,1,652.0,4.261437908496732,75.0,5.0,5.0
291334,1,5231.0,2.78392762107504,83.6,5.0,5.0
293699,1,187.0,1.6403508771929824,46.75,4.0,3.0
294570,1,1775.0,4.052511415525114,78.2,5.0,5.0
294594,1,865.0,3.37890625,52.8,5.0,5.0
296332,1,2152.0,4.211350293542075,86.8,5.0,5.0
298696,1,514.0,2.557213930348259,80.8,5.0,5.0
300398,1,1997.0,3.443103448275862,78.8,5.0,5.0
302302,0,513.0,3.109090909090909,58.666666666666664,3.0,3.0
305152,0,146.0,3.3181818181818183,64.0,1.0,1.0
305386,1,1277.0,3.470108695652174,78.0,5.0,5.0
306107,1,987.0,3.0652173913043477,58.2,5.0,5.0
306466,1,1220.0,3.2275132275132274,82.0,5.0,5.0
306897,1,2742.0,2.4658273381294964,62.6,5.0,4.0
307061,1,1081.0,2.6957605985037407,81.2,5.0,5.0
307866,1,1476.0,3.9151193633952253,60.0,4.0,4.0
311917,1,2230.0,3.204022988505747,59.2,5.0,5.0
312537,1,12882.0,7.02016348773842,87.8,5.0,5.0
312782,1,281.0,2.650943396226415,61.8,5.0,5.0
318933,1,1281.0,2.784782608695652,66.6,5.0,5.0
319047,1,6589.0,3.4086911536471804,78.4,5.0,5.0
321942,1,10083.0,4.727144866385372,80.4,5.0,5.0
324002,1,1901.0,3.1163934426229507,80.4,5.0,5.0
324084,1,1961.0,3.9696356275303644,57.6,5.0,4.0
324282,1,133.0,1.7972972972972974,61.2,5.0,4.0
332789,1,1655.0,3.6941964285714284,74.4,5.0,5.0
333059,1,301.0,2.213235294117647,65.8,5.0,5.0
333323,1,648.0,3.640449438202247,74.4,5.0,5.0
334259,0,332.0,2.721311475409836,53.0,2.0,2.0
336207,1,1316.0,3.323232323232323,68.2,5.0,5.0
339972,1,333.0,2.664,49.8,5.0,4.0
341872,0,201.0,1.7787610619469028,64.2,5.0,5.0
342514,1,1950.0,4.3624161073825505,77.2,5.0,5.0
342972,1,838.0,2.5944272445820435,60.4,5.0,5.0
343446,1,3644.0,2.9942481511914543,78.4,5.0,5.0
344282,0,65.0,1.2264150943396226,49.2,5.0,5.0
345068,1,547.0,2.568075117370892,78.0,5.0,5.0
345357,1,2219.0,3.010854816824966,80.4,5.0,5.0
346025,1,569.0,2.0919117647058822,82.4,5.0,5.0
346843,0,164.0,4.1,0.0,0.0,0.0
